2026-01-23 14:49:33,490 - __main__ - INFO - [NOSE] DOWN command accepted | TRANSITIONING_DOWN (uplock=False, downlock=False, transit=True)
2026-01-23 14:49:33,490 - __main__ - INFO - [LEFT] DOWN command accepted | TRANSITIONING_DOWN (uplock=False, downlock=False, transit=True)
2026-01-23 14:49:33,490 - __main__ - INFO - [RIGHT] DOWN command accepted | TRANSITIONING_DOWN (uplock=False, downlock=False, transit=True)
2026-01-23 14:49:35,493 - __main__ - INFO - [NOSE] Transition complete: TRANSITIONING_DOWN -> DOWN_LOCKED | DOWN_LOCKED (uplock=False, downlock=True, transit=False)
2026-01-23 14:49:35,493 - __main__ - INFO - [LEFT] Transition complete: TRANSITIONING_DOWN -> DOWN_LOCKED | DOWN_LOCKED (uplock=False, downlock=True, transit=False)
2026-01-23 14:49:35,493 - __main__ - INFO - [RIGHT] Transition complete: TRANSITIONING_DOWN -> DOWN_LOCKED | DOWN_LOCKED (uplock=False, downlock=True, transit=False)
2026-01-23 14:49:36,495 - __main__ - INFO - [NOSE] UP command accepted | TRANSITIONING_UP (uplock=False, downlock=False, transit=True)
2026-01-23 14:49:36,495 - __main__ - INFO - [LEFT] UP command accepted | TRANSITIONING_UP (uplock=False, downlock=False, transit=True)
2026-01-23 14:49:36,495 - __main__ - INFO - [RIGHT] UP command accepted | TRANSITIONING_UP (uplock=False, downlock=False, transit=True)
2026-01-23 14:49:38,497 - __main__ - INFO - [NOSE] Transition complete: TRANSITIONING_UP -> UP_LOCKED | UP_LOCKED (uplock=True, downlock=False, transit=False)
2026-01-23 14:49:38,497 - __main__ - INFO - [LEFT] Transition complete: TRANSITIONING_UP -> UP_LOCKED | UP_LOCKED (uplock=True, downlock=False, transit=False)
2026-01-23 14:49:38,497 - __main__ - INFO - [RIGHT] Transition complete: TRANSITIONING_UP -> UP_LOCKED | UP_LOCKED (uplock=True, downlock=False, transit=False)
